Designator,Mid X,Mid Y,Layer,Rotation
C1,29.275000mm,-63.600000mm,Top,180
C2,60.150000mm,-55.450000mm,Top,-90
C3,32.500000mm,-63.680000mm,Top,-90
C4,26.400000mm,-37.200000mm,Top,90
C5,27.600000mm,-37.200000mm,Top,90
C6,58.520000mm,-53.800000mm,Top,0
C7,56.520000mm,-53.800000mm,Top,180
C8,43.300000mm,-130.700000mm,Top,-90
C9,59.200000mm,-32.850000mm,Top,180
C10,55.650000mm,-32.850000mm,Top,180
C11,87.500000mm,-39.054999mm,Top,-90
C12,89.000000mm,-39.055000mm,Top,-90
C13,43.200000mm,-139.800000mm,Top,-90
C14,43.300000mm,-146.000000mm,Top,-90
C15,59.500000mm,-99.300000mm,Top,0
C16,165.100000mm,-59.650000mm,Top,180
C17,165.100000mm,-58.650000mm,Top,180
C18,205.300000mm,-169.050000mm,Top,-90
C19,143.300000mm,-121.300000mm,Top,180
C20,222.800000mm,-162.800000mm,Top,0
C21,228.700000mm,-162.750000mm,Top,180
C22,152.520000mm,-112.000000mm,Top,180
C23,152.520000mm,-114.500000mm,Top,180
C24,152.520000mm,-117.000000mm,Top,180
C25,152.520000mm,-119.500000mm,Top,180
C26,152.500000mm,-122.000000mm,Top,180
C27,152.500000mm,-124.500000mm,Top,180
C28,152.500000mm,-127.000000mm,Top,180
C29,152.500000mm,-129.500000mm,Top,180
C30,152.500000mm,-132.000000mm,Top,180
C31,152.500000mm,-134.500000mm,Top,180
C32,152.500000mm,-137.000000mm,Top,180
C33,152.500000mm,-139.500000mm,Top,180
C34,237.820000mm,-168.550000mm,Top,180
C35,237.820000mm,-169.600000mm,Top,180
C36,143.400000mm,-130.400000mm,Top,180
C37,70.695000mm,-47.500000mm,Top,-90
C38,96.456000mm,-47.500000mm,Top,-90
C39,70.695000mm,-61.500000mm,Top,-90
C40,96.456000mm,-61.500000mm,Top,-90
C41,70.695000mm,-75.500000mm,Top,-90
C42,96.456000mm,-75.500000mm,Top,-90
C43,70.695000mm,-89.500000mm,Top,-90
